Automaton A,Automaton B,Sum of A and B States,Checked,Processed,Satisfiable,Unsatisfiable,Skipped,Handle and Loop A,Handle and Loop B,Product Optimized,Product Basic,Product Final States,Spared state space,Generated states of LAs + OA
4,2,6,1,1,0,1,0,4,2,0,2,0,2,6
5,4,9,5,3,3,0,0,5,5,3,3,1,0,13
6,4,10,5,3,3,0,0,6,5,3,3,1,0,14
20,5,25,1,1,0,1,0,6,5,0,4,0,4,11
3582,3572,7154,1,1,0,0,0,2,12,0,4,0,4,14
3,3,6,5,4,2,2,1,5,5,3,7,1,4,13
802,566,1368,45,7,7,0,1,36,30,8,8,1,0,74
3582,3458,7040,59,7,7,0,1,52,59,8,8,1,0,119
1932,1663,3595,43,9,9,0,2,82,67,11,11,1,0,160
53,22,75,17,4,4,0,8,20,40,12,12,1,0,72
53,3,56,17,7,6,1,6,50,5,12,14,1,2,67
9,9,18,1,1,0,0,0,3,3,0,21,0,21,6
2872,16,2888,25,19,5,14,0,92,17,5,21,1,16,114
2872,17,2889,26,19,5,14,0,92,17,5,21,1,16,114
9,8,17,29,19,6,13,0,8,12,6,22,1,16,26
9,8,17,32,19,10,9,3,14,12,13,31,1,18,39
9,8,17,1,1,0,0,0,3,4,0,37,0,37,7
1323,22,1345,14,12,6,6,1,98,46,7,38,1,31,151
148,9,157,1,1,0,0,0,7,3,0,119,0,119,10
1323,92,1415,21,17,6,11,1,98,64,7,188,1,181,169
2872,53,2925,257,244,70,174,13,187,90,83,258,0,175,360
2872,66,2938,279,259,74,185,13,241,106,87,275,1,188,434
2872,58,2930,274,263,69,194,11,214,95,80,288,0,208,389
1323,10,1333,50,24,18,6,5,99,16,23,713,1,690,138
1323,871,2194,24,17,8,9,0,99,70,8,1986,1,1978,177
1323,1323,2646,1323,27,12,7,5,3,95,95,3352,1,3257,193
1341,1323,2664,27,12,7,5,3,122,95,10,3372,1,3362,227
1323,1318,2641,24,17,9,8,0,99,86,9,3378,1,3369,194
1557,1323,2880,34,21,12,9,0,134,99,12,3668,1,3656,245
1564,1323,2887,38,23,14,9,0,160,99,12,3743,1,3731,271
1323,1083,2406,88,87,24,63,1,315,343,25,4348,0,4323,683
1932,1663,3595,36,17,9,8,1,109,96,10,4676,1,4666,215
1932,1663,3595,36,17,9,8,1,109,96,10,4676,1,4666,215
1323,1323,2646,1,1,0,0,0,15,15,0,5525,0,5525,30
1323,1323,2646,90,90,25,65,0,603,309,25,5525,0,5500,937
1932,1663,3595,27,18,7,11,0,133,111,7,7232,1,7225,251
1932,1663,3595,1,1,0,0,0,13,11,0,7722,0,7722,24
6074,1663,7737,35,17,9,8,1,149,96,10,14331,1,14321,255
3582,3572,7154,26,19,5,14,0,106,106,5,25162,1,25157,217
3582,3458,7040,26,19,5,14,0,106,106,5,26798,1,26793,217
