Automaton A,Automaton B,Checked,Processed,Satisfiable,Unsatisfiable,Skipped,Handle and Loop A,Handle and Loop B,Product Optimized,Product Basic,Product Final States,Spared state space,Generated states of LAs + OA
4,2,1,1,0,1,0,4,2,0,2,0,2,6
20,5,1,1,0,1,0,6,5,0,4,0,4,11
3,3,5,4,2,2,1,5,5,3,7,1,4,13
5,4,6,5,3,2,1,6,6,4,8,1,4,16
2644,318,32,7,7,0,1,44,31,8,8,1,0,83
6,4,6,5,3,2,1,8,6,4,9,1,5,18
9,9,1,1,0,0,0,3,3,0,21,0,21,6
2872,16,26,25,5,20,1,113,20,6,28,1,22,139
2872,17,27,26,5,21,1,122,21,6,29,1,23,149
9,8,29,29,7,22,0,8,15,7,37,2,30,30
53,3,37,23,17,6,14,125,5,31,38,1,7,161
9,8,54,51,19,32,3,20,19,22,65,4,43,61
53,22,68,25,24,1,43,114,86,67,68,1,1,267
1323,22,30,23,11,12,7,168,46,18,68,1,50,232
148,9,1,1,0,0,0,7,3,0,119,0,119,10
2872,66,280,266,74,192,14,271,110,88,283,1,195,469
1323,92,46,45,11,34,1,243,82,12,348,1,336,337
1323,10,110,91,67,24,19,182,20,86,1077,2,991,288
2644,318,2019,1594,1506,88,425,2206,612,1931,2022,130,91,4749
802,566,3247,2481,2389,92,766,1477,1040,3155,3247,317,92,5672
1323,871,96,88,26,62,8,262,210,34,3551,2,3517,506
1557,1323,38,23,14,9,0,160,99,144,3743,1,3599,403
1323,1083,88,87,24,63,1,315,343,25,4348,0,4323,683
1323,1318,94,85,26,59,9,262,244,35,5476,1,5441,541
1323,1318,170,154,61,93,16,509,411,77,5476,3,5399,997
1323,1323,90,90,25,65,0,603,309,25,5525,0,5500,937
1323,1323,1,1,0,0,0,15,15,0,5525,0,5525,30
1323,1323,762,666,337,329,96,974,811,433,5525,3,5092,2218
1341,1323,769,670,337,333,99,1329,811,436,5553,8,5117,2576
1564,1323,107,99,36,63,8,399,262,44,5914,7,5870,705
1932,1663,1,1,0,0,0,13,11,0,7722,0,7722,24
1932,1663,215,204,21,183,11,354,262,32,7803,5,7771,648
1932,1663,55,55,22,33,0,310,156,22,7803,16,7781,488
1932,1663,215,204,21,183,11,354,262,32,7803,5,7771,648
1932,1663,7803,4712,4707,5,3091,4810,3703,7798,7803,3647,5,16311
6074,1663,203,191,25,166,12,530,263,37,21016,6,20979,830
3582,3572,33,30,5,25,3,146,146,8,29138,1,29130,300
3582,3458,29146,23428,22927,501,5718,8723,8716,28645,29146,2666,501,46084
3582,3458,33,30,5,25,3,146,146,8,30835,1,30827,300
